date,r_pct,sigma_pct
2020-01-02,0.83438953623158,0.5467212269199957
2020-01-03,-0.70849093649538,0.6066676183321508
2020-01-06,0.35271451942726,0.6421883279640292
2020-01-07,-0.28071750845946,0.621080447422863
2020-01-08,0.48904734856413995,0.6027354418747657
2020-01-09,0.66332141169063,0.6000473478515749
2020-01-10,-0.28592624875063,0.6197214664274192
2020-01-13,0.69519940459343,0.6019656608074345
2020-01-14,-0.15156808368956,0.6259110012287119
2020-01-15,0.18684502436876,0.5993060017566606
2020-01-16,0.83317474222326,0.5750761159152323
2020-01-17,0.38547232474837,0.6277329409010842
2020-01-21,-0.26555003695847,0.6112899127186439
2020-01-22,0.028903429668140003,0.5933044773411076
2020-01-23,0.1140326193358,0.5670029624164638
2020-01-24,-0.90832894261936,0.5451511729315441
2020-01-27,-1.58557523568436,0.6335083422483014
2020-01-28,1.00033835003525,0.8555594626973727
2020-01-29,-0.08672501435853,0.8758874885963727
2020-01-30,0.31294569302104003,0.8163983454118893
2020-01-31,-1.78644435713621,0.7696097902062256
2020-02-03,0.7228425761232,0.99356340022601
2020-02-04,1.4869315917506298,0.9556083652341606
2020-02-05,1.11877786589733,1.0406443535045125
2020-02-06,0.33201550570023,1.044691771626419
2020-02-07,-0.54154910094599,0.9720314761986995
2020-02-10,0.72996901205737,0.9262241025205145
2020-02-11,0.16870486860032,0.8987674682576013
2020-02-12,0.6441853105203,0.8370063935437183
2020-02-13,-0.16317763599893,0.8136438652210105
2020-02-14,0.18418360984853,0.7635772829177251
2020-02-18,-0.2924213986148,0.7180179099304448
2020-02-19,0.46947482842849,0.6867190967107675
2020-02-20,-0.38228174279967997,0.6686243599704564
2020-02-21,-1.0573809232820202,0.6514635075980255
2020-02-24,-3.4088079420440502,0.7410530675936307
2020-02-25,-3.07479043753531,1.4681865116055086
2020-02-26,-0.37856973235292,1.7815896371347533
2020-02-27,-4.51681363522622,1.636083815140977
2020-02-28,-0.82724631096526,2.2720384251070493
2020-03-02,4.50108687694132,2.097547943655232
2020-03-03,-2.85104849229149,2.5455738793655716
2020-03-04,4.1336349360634,2.560734067410715
2020-03-05,-3.4510782439982104,2.7961457359116832
2020-03-06,-1.7200943652385399,2.8639254607696505
2020-03-09,-7.9010412940371895,2.690765601490728
2020-03-10,4.82150524258591,3.858855696151651
2020-03-11,-5.01028928086055,3.9452400243618726
2020-03-12,-9.99448524024728,4.059170093036144
2020-03-13,8.88084069492354,5.274883261697998
2020-03-16,-12.7652197472817,5.835683464165017
2020-03-17,5.82263126356918,7.159996497195536
2020-03-18,-5.3222272332080305,6.863505885879051
2020-03-19,0.46967609704012997,6.556837451846495
2020-03-20,-4.43276240533672,5.964363881452074
2020-03-23,-2.97315010095768,5.677291814603847
2020-03-24,8.9683232517963,5.285119585423269
2020-03-25,1.14689904208225,5.862071419683392
2020-03-26,6.05438310742467,5.3473124574355015
2020-03-27,-3.42678455416267,5.363239450047744
2020-03-30,3.29665905699751,5.047955570492219
2020-03-31,-1.6142310788415701,4.752158430621478
2020-04-01,-4.51463627327868,4.36688053147767
2020-04-02,2.25726570569602,4.324540443699954
2020-04-03,-1.5252860825945,4.022136737246477
2020-04-06,6.7968244144831,3.7064602537572053
2020-04-07,-0.16043390483631,4.222591976697501
2020-04-08,3.3489371191285104,3.842621675929221
2020-04-09,1.43834703036995,3.711986191746917
2020-04-13,-1.0156059444677001,3.419324224178706
2020-04-14,3.01145595723069,3.137613411142619
2020-04-15,-2.2276732672368698,3.068215916929857
2020-04-16,0.5799837839541401,2.920405250588156
2020-04-17,2.64409320213205,2.668046020358671
2020-04-20,-1.8042845615347798,2.62151471278143
2020-04-21,-3.11551152363307,2.4868379282201647
2020-04-22,2.26713005821368,2.556993128642982
2020-04-23,-0.0539567660196,2.4769886008992468
2020-04-24,1.38220905668395,2.2583922570889037
2020-04-27,1.46068681817359,2.1214611592259613
2020-04-28,-0.5256170190484,2.008947003537421
2020-04-29,2.62367040450737,1.8463100787042668
2020-04-30,-0.92551433190548,1.9475173447470417
2020-05-01,-2.84602110147762,1.8148585396584824
2020-05-04,0.42408225788497,1.980176255777429
2020-05-05,0.89999351977798,1.8142328423998533
2020-05-06,-0.70038803990426,1.6898603721258065
2020-05-07,1.14389557548904,1.5702645633531531
2020-05-08,1.6730795065226,1.4971611721653972
2020-05-11,0.01330693667913,1.5038129447612718
2020-05-12,-2.07133657720479,1.378025301241524
2020-05-13,-1.76169966242802,1.491409910817029
2020-05-14,1.1458917804072,1.524061518948556
2020-05-15,0.39186752037227,1.4573986539937063
2020-05-18,3.10152087700732,1.3429264173376447
2020-05-19,-1.05397477115989,1.6875623365413117
2020-05-20,1.6513990613415,1.5969202901604467
2020-05-21,-0.78039683099531,1.583187683975474
2020-05-22,0.23509456868122,1.4814744728916311
2020-05-26,1.22142850214599,1.3599738452493195
2020-05-27,1.47184474903152,1.3257336134823805
2020-05-28,-0.21101393249196,1.3320433600825068
2020-05-29,0.48007935523077,1.2267548518918878
