date,r_pct,sigma_pct,VaR_5,VaR_1
2020-01-02,0.83438953623158,0.8453450820886506,-1.4190621378363204,-1.9977422686497504
2020-01-03,-0.70849093649538,0.9189111585422154,-1.5400494757058782,-2.169089190608206
2020-01-06,0.35271451942726,0.8871599708185393,-1.487831226995701,-2.095135698084909
2020-01-07,-0.28071750845946,0.8502718524070076,-1.427164742377002,-2.0092174888863443
2020-01-08,0.48904734856413995,0.8404372220596975,-1.4109906333037354,-1.986311093440959
2020-01-09,0.66332141169063,0.8647525777239768,-1.4509798551433633,-2.04294536769139
2020-01-10,-0.28592624875063,0.8891047713481618,-1.4910296609765434,-2.099665443323998
2020-01-13,0.69519940459343,0.8407566646607214,-1.4115159910740986,-1.9870551253244915
2020-01-14,-0.15156808368956,0.894232006520919,-1.4994619515660057,-2.1116075776250387
2020-01-15,0.18684502436876,0.8345858078729855,-1.4013673523113162,-1.972682232716954
2020-01-16,0.83317474222326,0.8383912042001104,-1.4076257365198044,-1.9815455971767457
2020-01-17,0.38547232474837,0.91868015992698,-1.5396695735980566,-2.1685511586292647
2020-01-21,-0.26555003695847,0.8533711181255319,-1.4322618187294607,-2.0164361644879403
2020-01-22,0.028903429668140003,0.8395436180800645,-1.4095210052928726,-1.9842297497192152
2020-01-23,0.1140326193358,0.8331597596961986,-1.399022062458974,-1.9693607430108782
2020-01-24,-0.90832894261936,0.8352322962251787,-1.4024305720515304,-1.9741880054123377
2020-01-27,-1.58557523568436,0.9220436326114758,-1.5452011667685988,-2.17638521366336
2020-01-28,1.00033835003525,1.0882836789181518,-1.8186008316624047,-2.563584336058582
2020-01-29,-0.08672501435853,0.9528921074010456,-1.5959348068109902,-2.248236146282313
2020-01-30,0.31294569302104003,0.8331628436264857,-1.3990271343145575,-1.9693679259678565
2020-01-31,-1.78644435713621,0.8468390160690855,-1.421519073205978,-2.00122187503216
2020-02-03,0.7228425761232,1.148568471088548,-1.9177456667593207,-2.7039970653662633
2020-02-04,1.4869315917506298,0.8988398368672192,-1.5070400249638078,-2.12233993667974
2020-02-05,1.11877786589733,1.076485119181257,-1.7991968291373703,-2.5361036412612186
2020-02-06,0.33201550570023,0.9799090594858815,-1.6403670950023677,-2.3111628620132754
2020-02-07,-0.54154910094599,0.848439736437234,-1.4241516302941368,-2.0049502036480216
2020-02-10,0.72996901205737,0.8641367610030863,-1.4499670782050265,-2.041511034032428
2020-02-11,0.16870486860032,0.9000517960081215,-1.5090332223332092,-2.125162779467395
2020-02-12,0.6441853105203,0.8374854016103674,-1.4061360465804813,-1.9794358409801867
2020-02-13,-0.16317763599893,0.8861242583170007,-1.4861278862114677,-2.092723361343197
2020-02-14,0.18418360984853,0.8349479846205458,-1.4019629909893314,-1.9735257991254267
2020-02-18,-0.2924213986148,0.8382533945767041,-1.4073990937481289,-1.9812246169651422
2020-02-19,0.46947482842849,0.8411639828907861,-1.4121858697831033,-1.9880038333206724
2020-02-20,-0.38228174279967997,0.8624202882027284,-1.4471441537722969,-2.03751309986025
2020-02-21,-1.0573809232820202,0.8478140339115339,-1.4231225950848103,-2.0034928444002706
2020-02-24,-3.4088079420440502,0.9527697199833259,-1.595733527517973,-2.247951086804852
2020-02-25,-3.07479043753531,1.7342035481705973,-2.8808856404388195,-4.068032945575959
2020-02-26,-0.37856973235292,1.6039691975791919,-2.6667012209778944,-3.7646967316189572
2020-02-27,-4.51681363522622,0.8475021503681798,-1.422609668999109,-2.0027664187467704
2020-02-28,-0.82724631096526,2.1847708318206727,-3.621892077207937,-5.117474765914901
2020-03-02,4.50108687694132,0.9069769059927758,-1.52042231173267,-2.1412924459835003
2020-03-03,-2.85104849229149,2.202205906687935,-3.650565936076542,-5.158083787853244
2020-03-04,4.1336349360634,1.518808616583191,-2.5266454713330906,-3.56634439139229
2020-03-05,-3.4510782439982104,2.050067111275548,-3.4003572973809,-4.803728688858203
2020-03-06,-1.7200943652385399,1.750914350442851,-2.908368355000343,-4.106955023126396
2020-03-09,-7.9010412940371895,1.12821071859284,-1.8842651496759104,-2.6565806691644975
2020-03-10,4.82150524258591,3.6394675098008467,-6.014297476014306,-8.505691321305429
2020-03-11,-5.01028928086055,2.33633939626388,-3.871162909644802,-5.470501707611299
2020-03-12,-9.99448524024728,2.3915929266129643,-3.962033292667745,-5.599195839595212
2020-03-13,8.88084069492354,4.561727139900777,-7.5310527910919625,-10.653778544142623
2020-03-16,-12.7652197472817,4.095359161669451,-6.764060409903449,-9.567534429705374
2020-03-17,5.82263126356918,5.792221574617457,-9.554733447945363,-13.519792936099453
2020-03-18,-5.3222272332080305,2.7619778876550334,-4.571171262009976,-6.461880463727912
2020-03-19,0.46967609704012997,2.5236690817969682,-4.179246758195509,-5.906821905111579
2020-03-20,-4.43276240533672,0.8624438459313033,-1.4471828969947702,-2.0375679695022675
2020-03-23,-2.97315010095768,2.149847469156698,-3.5644568450757137,-5.036132780785546
2020-03-24,8.9683232517963,1.5650542309017257,-2.602701366037132,-3.6740576751442173
2020-03-25,1.14689904208225,4.1339160259720975,-6.827471326911092,-9.657339409624322
2020-03-26,6.05438310742467,0.9866381311412156,-1.6514337782504032,-2.326835924535607
2020-03-27,-3.42678455416267,2.861597266098709,-4.735006061677837,-6.693909609315317
2020-03-30,3.29665905699751,1.7413044770104986,-2.8925638828863844,-4.084572121761753
2020-03-31,-1.6142310788415701,1.7127108056340117,-2.8455385099627413,-4.017972979683744
2020-04-01,-4.51463627327868,1.0966308209976887,-1.832328606034871,-2.583026138196573
2020-04-02,2.25726570569602,2.1838649153541225,-3.6204021999859366,-5.11536474448141
2020-04-03,-1.5252860825945,1.3236348021368625,-2.2056611077506,-3.1117539882548035
2020-04-06,6.7968244144831,1.071016776368786,-1.7902035502874833,-2.5233670138060087
