date,r_pct,sigma_pct,VaR_5,VaR_1
2020-01-02,0.83438953623158,0.5467212269199957,-0.8646825634722866,-1.2484036301663652
2020-01-03,-0.70849093649538,0.6066676183321508,-0.9631801421096586,-1.3889751070255436
2020-01-06,0.35271451942726,0.6421883279640292,-1.021544020364919,-1.4722695054774704
2020-01-07,-0.28071750845946,0.621080447422863,-0.9868617805420528,-1.4227725153978101
2020-01-08,0.48904734856413995,0.6027354418747657,-0.9567192050840352,-1.3797543376203407
2020-01-09,0.66332141169063,0.6000473478515749,-0.9523024129102831,-1.3734508831858903
2020-01-10,-0.28592624875063,0.6197214664274192,-0.9846288465102926,-1.4195857686887439
2020-01-13,0.69519940459343,0.6019656608074345,-0.9554543821409541,-1.3779492371139734
2020-01-14,-0.15156808368956,0.6259110012287119,-0.9947988363371609,-1.434099937558508
2020-01-15,0.18684502436876,0.5993060017566606,-0.951084311310484,-1.3717124613564695
2020-01-16,0.83317474222326,0.5750761159152323,-0.9112723221344898,-1.3148945152445666
2020-01-17,0.38547232474837,0.6277329409010842,-0.9977924551676622,-1.4383723006559435
2020-01-21,-0.26555003695847,0.6112899127186439,-0.9707750080239124,-1.3998141706135392
2020-01-22,0.028903429668140003,0.5933044773411076,-0.9412232402912003,-1.357639168025094
2020-01-23,0.1140326193358,0.5670029624164638,-0.8980073690178073,-1.2959633488557483
2020-01-24,-0.90832894261936,0.5451511729315441,-0.8621028165926258,-1.2447219271863168
2020-01-27,-1.58557523568436,0.6335083422483014,-1.007281984644904,-1.4519153459954197
2020-01-28,1.00033835003525,0.8555594626973727,-1.3721329320117577,-1.9726148110416528
2020-01-29,-0.08672501435853,0.8758874885963727,-1.4055337970573774,-2.0202830785543267
2020-01-30,0.31294569302104003,0.8163983454118893,-1.3077875204116836,-1.8807838273477837
2020-01-31,-1.78644435713621,0.7696097902062256,-1.2309095084557473,-1.7710668593964196
2020-02-03,0.7228425761232,0.99356340022601,-1.5988864257381163,-2.2962275732745567
2020-02-04,1.4869315917506298,0.9556083652341606,-1.5365227211726424,-2.2072247960037266
2020-02-05,1.11877786589733,1.0406443535045125,-1.6762448753233143,-2.4066302009956164
2020-02-06,0.33201550570023,1.044691771626419,-1.6828951652798834,-2.4161212067002173
2020-02-07,-0.54154910094599,0.9720314761986995,-1.5635074424476574,-2.2457362211041083
2020-02-10,0.72996901205737,0.9262241025205145,-1.4882416043421187,-2.138320077825181
2020-02-11,0.16870486860032,0.8987674682576013,-1.4431277629795094,-2.073935557973375
2020-02-12,0.6441853105203,0.8370063935437183,-1.3416484884134372,-1.9291087338656572
2020-02-13,-0.16317763599893,0.8136438652210105,-1.3032616494991076,-1.8743247004630808
2020-02-14,0.18418360984853,0.7635772829177251,-1.2209975296521474,-1.7569209126808294
2020-02-18,-0.2924213986148,0.7180179099304448,-1.146139180087271,-1.650086319392841
2020-02-19,0.46947482842849,0.6867190967107675,-1.0947122760862322,-1.5766920700546314
2020-02-20,-0.38228174279967997,0.6686243599704564,-1.064980915898971,-1.5342607608958319
2020-02-21,-1.0573809232820202,0.6514635075980255,-1.036784015865133,-1.4940193667880655
2020-02-24,-3.4088079420440502,0.7410530675936307,-1.1839881181118181,-1.7041026839498823
2020-02-25,-3.07479043753531,1.4681865116055086,-2.3787369911340726,-3.4091965134631104
2020-02-26,-0.37856973235292,1.7815896371347533,-2.8936879043554433,-4.144112146750011
2020-02-27,-4.51681363522622,1.636083815140977,-2.6546081064491855,-3.802907817224239
2020-02-28,-0.82724631096526,2.2720384251070493,-3.699541549969713,-5.294191556452067
2020-03-02,4.50108687694132,2.097547943655232,-3.4128372210951574,-4.885019559643973
2020-03-03,-2.85104849229149,2.5455738793655716,-4.148986116710974,-5.9356193700813975
2020-03-04,4.1336349360634,2.560734067410715,-4.173895736438828,-5.971169300156697
2020-03-05,-3.4510782439982104,2.7961457359116832,-4.560699325180409,-6.52319862388267
2020-03-06,-1.7200943652385399,2.8639254607696505,-4.672067809954013,-6.68213890035211
2020-03-09,-7.9010412940371895,2.690765601490728,-4.387549818889356,-6.276087150144007
